Artist Name,Track Name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in ms,time_signature,Class
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",Swagatham Krishna - Mohanam - Adi,-0.371,0.027,0.205,1.343,-0.131,0.755,0.327,0.949,-0.588,0.998,0.549,-0.1,-1.793,-2.555,0
Bruno Mars,That's What I Like (feat. Gucci Mane),0.899,1.868,-0.42,-1.644,0.728,0.755,-0.373,-0.74,-0.332,-0.699,1.719,0.387,0.302,0.21,5
Boston,Hitch a Ride,0.551,-0.971,0.643,-0.98,0.168,0.755,-0.468,-0.792,-0.574,-0.598,0.345,-0.209,0.455,0.21,10
The Raincoats,No Side to Fall In,-0.551,-0.658,-0.207,0.015,-0.105,0.755,-0.326,0.769,-0.588,1.243,1.252,0.847,-0.813,0.21,6
Deno,Lingo (feat. J.I & Chunkz),1.247,1.862,-0.279,1.343,0.341,-1.324,-0.29,-0.727,-0.332,-0.466,0.345,-0.527,-0.239,0.21,5
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,0.493,-2.264,1.327,-1.312,0.897,0.755,1.631,-0.795,-0.529,-0.152,-1.642,2.585,0.261,0.21,10
The Stooges,Search and Destroy - Iggy Pop Mix,0.493,-1.855,1.335,0.015,2.171,0.755,0.327,-0.784,-0.566,-0.152,-1.021,1.026,0.066,0.21,6
Solomon Burke,None Of Us Are Free,0.203,0.785,-0.02,-0.317,-0.429,-1.324,0.291,0.505,-0.589,-0.616,0.794,0.699,1.149,0.21,2
Randy Travis,On the Other Hand,0.609,0.683,-1.053,-0.317,-0.495,0.755,-0.655,-0.232,-0.589,-0.403,-0.58,-0.899,-1.793,0.21,4
Professional Murder Music,Slow,-0.899,-0.676,0.481,1.343,0.619,0.755,-0.323,-0.795,-0.584,-0.108,-0.7,-0.06,0.331,0.21,8
Dudu Aharon,"דודו, יאללה יאללה",-1.769,1.038,0.944,-1.644,0.88,-1.324,-0.555,-0.598,-0.403,0.357,1.444,0.183,-0.327,0.21,9
Mohammed Rafi,Meri Dosti Mera Pyar,-1.943,-0.315,-0.424,0.347,-0.167,-1.324,-0.558,2.285,-0.58,0.42,1.485,-0.915,-1.793,0.21,3
Arctic Monkeys,The View From The Afternoon,0.841,-0.941,1.101,1.011,0.671,-1.324,-0.147,-0.78,-0.168,-0.058,-0.288,0.807,0.198,0.21,10
Eyal Golan,קרובה אליי,-0.609,0.25,-1.197,-1.644,0.071,-1.324,-0.4,0.605,-0.403,-0.441,-0.684,0.719,0.055,0.21,9
"Harald Lassen, Bram de Looze",How it feels pt. 2,-0.609,-0.49,-1.227,1.675,-1.027,-1.324,-0.558,2.26,2.871,-0.409,-1.3,0.011,-1.793,-2.555,7
Buffalo Springfield,For What It's Worth,1.827,0.659,-0.611,-1.312,-0.557,0.755,-0.359,0.512,-0.511,-0.598,1.398,-0.803,-0.42,0.21,10
Elmore James,Madison Blues,-0.435,-0.676,0.804,-1.312,0.343,0.755,-0.438,1.02,0.186,0.363,1.281,-1.861,-0.482,0.21,2
Dudu Aharon,לא יכול בלעדייך,-1.769,1.02,1.174,-0.317,1.062,-1.324,-0.509,-0.441,-0.589,0.847,1.64,-0.493,-0.191,0.21,9
Velvet Two Stripes,Drinks,-0.783,0.124,0.587,-1.644,0.786,-1.324,-0.388,-0.788,-0.56,-0.811,-0.355,-0.596,-0.415,0.21,10
Eden Ben Zaken,מנגינה,-0.899,0.16,-0.87,1.011,0.488,-1.324,-0.671,0.821,-0.589,-0.39,-1.233,-0.999,0.15,0.21,9
DaBaby,Baby Sitter (feat. Offset),1.479,1.856,0.286,-1.644,0.521,0.755,-0.261,-0.725,-0.332,0.878,-0.384,-1.018,-0.384,0.21,5
Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),0.203,-1.181,-1.07,0.015,-0.04,0.755,-0.458,-0.737,1.78,-0.62,-0.38,1.669,0.735,0.21,6
Clairmont The Second,intres-ting,-0.029,1.519,-0.942,0.347,-0.474,0.755,2.54,-0.28,-0.589,-0.491,-0.48,1.2,-0.561,0.21,1
Krankhead,Cut Throat,-0.899,1.573,-0.913,0.347,-0.381,0.755,0.386,-0.602,-0.589,-0.522,1.202,1.265,-0.56,0.21,5
The Stone Roses,Driving South,-0.029,-0.43,1.208,1.011,0.44,0.755,-0.028,-0.795,-0.531,1.054,1.098,-0.806,0.974,0.21,10
R3HAB,Whiplash - Acoustic,-0.029,0.076,-2.017,0.679,-1.05,0.755,-0.576,0.795,-0.403,-0.485,-1.258,0.523,-0.496,0.21,9
MC Hammer,U Can't Touch This,1.653,1.946,-0.619,1.675,-1.312,-1.324,0.093,-0.781,-0.588,-0.689,1.581,0.356,0.506,0.21,9
duendita,Open Eyes,-0.551,-1.218,-0.819,-0.317,-0.552,0.755,-0.511,-0.068,-0.198,2.021,-1.179,0.727,0.032,0.21,1
Rainbow,Since You Been Gone,1.247,1.14,0.269,0.347,0.345,0.755,-0.51,0.425,-0.589,1.726,1.785,-0.061,-0.032,0.21,8
fijitrip,Private Social Network,-0.841,0.918,-0.008,0.015,0.473,0.755,0.096,-0.792,-0.589,-0.516,-0.371,-0.054,-0.178,0.21,6
Machine Gun Kelly,love race (feat. Kellin Quinn),2.117,-0.159,0.787,1.343,0.952,0.755,-0.33,-0.777,-0.403,0.112,-0.238,-0.904,-0.107,0.21,9
ShittyCT,Mahapecha Shel Simcha,-2.348,-0.64,1.212,-0.317,0.895,-1.324,0.147,-0.795,0.391,-0.682,0.128,1.603,-0.183,0.21,6
Tetrarch,Negative Noise,0.261,-0.959,1.322,-1.644,1.053,-1.324,0.733,-0.795,-0.588,0.187,-1.379,2.442,0.416,0.21,8
Dreezy,Where Them $ @,-0.145,1.892,-0.585,-0.026,0.143,0.755,0.817,-0.653,-0.561,0.005,-0.563,1.632,-0.061,0.21,5
The Ayoub Sisters,Mother's Pride,-1.653,-1.482,-2.409,-0.083,-3.064,0.755,-0.494,1.922,2.595,-0.441,-0.792,-1.419,-1.793,0.21,7
Brandon Jack & The Artifacts,four days,-0.899,-0.165,1.212,-1.312,0.967,0.755,-0.183,-0.706,-0.379,-0.29,1.96,1.605,-0.629,0.21,1
Moon Guitar,Struna,0.145,-1.344,-1.788,-0.083,-1.793,0.755,-0.449,2.234,2.874,-0.196,-0.23,-1.405,-1.793,0.21,7
Ivri Lider,נסיכה שלי,0.145,0.707,-1.087,-0.648,-0.339,0.755,-0.461,1.5,-0.403,-0.51,-0.621,0.178,0.142,0.21,9
Vieux Farka Touré,Bonheur,-0.435,0.154,0.375,0.347,-1.214,0.755,-0.454,0.38,2.599,-0.88,1.132,-0.591,1.228,0.21,2
Kvelertak,Crack of Doom (feat. Troy Sanders),-0.029,-1.121,1.335,-1.644,0.351,-1.324,0.53,-0.795,2.733,-0.573,-0.859,1.258,0.296,0.21,8
Better Than Ezra,Good,1.073,0.43,-0.025,0.347,0.256,0.755,-0.607,-0.794,-0.513,-0.403,1.273,-0.429,-0.14,0.21,10
Lior Narkis,חלקת אלוהים - השיר של אופיר,-0.029,-0.388,-0.93,0.009,0.349,0.755,-0.576,1.964,-0.403,-0.347,-1.042,-0.497,-0.237,0.21,9
Silversun Pickups,Lazy Eye,1.189,0.539,0.715,-0.648,0.706,0.755,-0.402,-0.666,1.992,-0.497,-1.013,0.161,1.372,0.21,10
Lilly Wood and The Prick,A Song,-0.175,0.448,-0.955,1.675,0.103,0.755,-0.042,0.515,0.391,1.908,0.686,1.095,0.076,0.21,6
Orange Juice,Rip It Up,0.609,2.03,-0.496,0.347,-0.357,0.755,-0.467,-0.624,-0.588,-0.92,1.523,-0.67,1.069,0.21,6
U2,The Blackout,0.261,0.485,-0.573,1.011,-0.294,-1.324,-0.542,-0.703,-0.57,-0.688,-0.65,-0.087,0.761,0.21,10
Omer Adam,תגידי לי שטוב לך,-0.435,0.382,-0.679,-1.312,0.125,0.755,-0.113,0.64,-0.403,-0.146,-0.055,0.439,0.038,0.21,9
The Clash,The Magnificent Seven - Remastered,0.667,1.537,0.536,-0.01,-0.073,0.755,-0.481,-0.604,-0.168,-1.02,1.436,-0.221,1.186,0.21,10
Victor Manu,Raphaela,0.145,-0.297,-2.547,-1.312,-2.789,0.755,-0.427,2.372,2.859,-0.541,-1.4,-1.501,-1.793,0.21,7
The Last Shadow Puppets,Bad Habits,0.261,-0.141,-0.088,1.011,0.09,0.755,-0.434,-0.794,-0.583,-0.733,-0.155,-1.138,-0.177,0.21,10
Anne-Marie,Our Song,0.203,0.31,0.409,1.675,0.905,-1.324,-0.448,-0.342,-0.403,-0.152,0.12,-1.409,-0.331,0.21,9
How Lucky,"Kurt Vile, John Prine",-0.371,-0.123,-0.942,-0.317,-0.498,0.755,-0.582,0.702,-0.579,1.06,0.016,1.644,-1.793,0.21,0
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",-0.957,0.136,1.191,-0.01,-0.605,0.755,0.518,-0.78,0.7,3.34,-0.675,-0.163,1.806,0.21,10
Veruca Salt,Seether,0.145,0.412,0.838,0.679,-0.312,0.755,-0.427,-0.787,-0.583,-0.24,0.836,0.46,-0.038,0.21,1
Juice WRLD,Life's A Mess (feat. Halsey),1.885,0.521,-0.921,-1.644,-0.244,0.755,-0.534,0.289,-0.332,-0.19,-1.287,0.692,0.013,0.21,5
BENEE,C U,0.493,-0.135,-0.556,1.011,-0.884,-1.324,-0.527,1.017,-0.587,1.192,-0.667,-0.928,-0.18,0.21,9
Berry Sakharof,נפתלי הדג,-1.537,-0.255,-0.802,-1.312,-1.477,0.755,-0.596,1.162,2.707,-0.309,-0.854,-0.684,1.353,0.21,10
Ganser,Self Service - Adam Faulkner / Girl Band Remix,-2.059,-2.156,0.859,1.011,-0.645,0.755,-0.265,-0.793,2.416,-0.529,-1.696,-1.305,0.06,-2.555,6
Dion,Blues Comin’ On,-0.609,-0.069,0.094,-0.648,0.329,-1.324,-0.573,-0.728,-0.588,0.671,0.674,0.589,0.78,0.21,2
